No,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,Date_Time,Age_Bin,Day,Part_of_day,PROMO
33,foreigner,male,moderate,54,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no,2015-10-20 15:52:41,52-55,Tuesday,Afternoon,NO
34,malay,female,fat,55,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,2015-10-20 16:01:30,52-55,Tuesday,Afternoon,YES
35,chinese,male,thin,46,no,no_kids,big,red,casual,green,short_sleeve,black,long,clothes,4,7,no,2015-10-20 16:34:06,44-47,Tuesday,Afternoon,NO
36,malay,female,thin,46,no,no_kids,small,white,casual,white,short_sleeve,grey,long,clothes,6,10,no,2015-10-20 18:14:37,44-47,Tuesday,Evening,NO
37,malay,male,fat,40,no,no_kids,big,blue,formal,white,short_sleeve,brown,long,clothes,4,7,yes,2015-10-20 18:34:26,40-43,Tuesday,Evening,NO
38,chinese,female,thin,35,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,2015-10-20 18:37:46,32-35,Tuesday,Evening,YES
39,malay,female,thin,41,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,2015-10-20 18:48:34,40-43,Tuesday,Evening,NO
40,malay,male,moderate,31,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,2015-10-20 18:57:46,28-31,Tuesday,Evening,YES
41,malay,female,fat,34,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,2015-10-20 18:57:46,32-35,Tuesday,Evening,YES
42,malay,female,fat,36,no,no_kids,big,blue,casual,grey,long sleeve,black,long,blankets,4,8,no,2015-10-20 20:09:18,36-39,Tuesday,Evening,NO
43,malay,male,thin,33,no,no_kids,big,red,casual,black,short_sleeve,blue,long,clothes,4,10,yes,2015-10-20 20:21:03,32-35,Tuesday,Evening,NO
44,malay,female,moderate,51,no,no_kids,big,pink,casual,blue,short_sleeve,red,long,clothes,6,9,no,2015-10-20 20:21:03,48-51,Tuesday,Evening,NO
45,foreigner,female,moderate,46,no,no_kids,big,blue,formal,grey,long sleeve,black,long,blankets,3,7,no,2015-10-20 20:21:03,44-47,Tuesday,Evening,NO
46,malay,female,moderate,51,no,no_kids,big,black,casual,red,long sleeve,red,long,clothes,6,8,no,2015-10-20 20:32:37,48-51,Tuesday,Evening,NO
47,indian,male,fat,48,no,no_kids,big,purple,casual,red,short_sleeve,black,short,clothes,5,7,no,2015-10-20 20:44:46,48-51,Tuesday,Evening,NO
48,malay,female,fat,28,no,no_kids,big,blue,casual,orange,long sleeve,brown,long,clothes,3,9,yes,2015-10-20 20:48:32,28-31,Tuesday,Evening,NO
49,foreigner,male,moderate,49,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,4,8,no,2015-10-20 21:39:30,48-51,Tuesday,Evening,NO
50,indian,male,fat,48,no,no_kids,big,red,casual,brown,short_sleeve,blue,short,clothes,5,10,no,2015-10-20 21:44:10,48-51,Tuesday,Evening,NO
51,malay,female,fat,42,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,2015-10-20 21:05:59,40-43,Tuesday,Evening,NO
52,indian,female,fat,42,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,2015-10-20 22:04:52,40-43,Tuesday,Evening,YES
53,foreigner,male,moderate,54,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,2015-10-20 22:04:52,52-55,Tuesday,Evening,NO
54,foreigner,male,thin,38,no,no_kids,big,yellow,casual,white,short_sleeve,black,long,clothes,3,8,no,2015-10-20 22:10:28,36-39,Tuesday,Evening,NO
55,chinese,female,thin,39,no,no_kids,big,purple,casual,blue,long sleeve,yellow,short,clothes,6,7,no,2015-10-20 22:12:39,36-39,Tuesday,Evening,YES
56,malay,male,thin,53,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,2015-10-20 22:18:01,52-55,Tuesday,Evening,NO
57,malay,male,thin,29,yes,toddler,big,black,casual,white,short_sleeve,blue,long,clothes,3,10,no,2015-10-20 22:20:42,28-31,Tuesday,Evening,NO
58,indian,male,fat,43,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,2015-10-20 22:24:54,40-43,Tuesday,Evening,NO
59,indian,female,fat,29,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,8,no,2015-10-20 22:24:54,28-31,Tuesday,Evening,YES
60,malay,female,thin,50,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,2015-10-20 22:37:12,48-51,Tuesday,Evening,NO
61,malay,male,moderate,51,no,no_kids,small,orange,casual,black,short_sleeve,grey,long,clothes,3,9,no,2015-10-20 22:52:52,48-51,Tuesday,Evening,YES
62,malay,male,thin,28,yes,toddler,big,brown,casual,white,short_sleeve,blue,long,clothes,4,10,no,2015-10-20 22:54:56,28-31,Tuesday,Evening,NO
63,indian,female,moderate,55,yes,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,2015-10-20 22:59:55,52-55,Tuesday,Evening,NO
64,indian,male,thin,33,no,no_kids,small,yellow,casual,orange,short_sleeve,black,long,blankets,5,10,no,2015-10-20 23:08:44,32-35,Tuesday,Evening,YES
65,indian,male,moderate,49,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,2015-10-20 23:08:44,48-51,Tuesday,Evening,NO
66,malay,male,thin,42,no,no_kids,small,red,casual,brown,long sleeve,blue,long,blankets,4,8,no,2015-10-20 23:15:42,40-43,Tuesday,Evening,NO
67,malay,female,moderate,45,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,2015-10-20 00:04:56,44-47,Tuesday,Early Morning,NO
68,indian,male,thin,30,no,no_kids,small,white,casual,black,short_sleeve,white,short,clothes,6,7,no,2015-10-21 02:17:42,28-31,Wednesday,Early Morning,NO
69,indian,male,fat,44,no,no_kids,small,blue,casual,blue,short_sleeve,white,short,clothes,4,8,no,2015-10-21 07:35:52,44-47,Wednesday,Morning,NO
70,chinese,female,moderate,54,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,3,7,no,2015-10-21 07:58:48,52-55,Wednesday,Morning,NO
71,chinese,female,thin,43,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,2015-10-21 11:21:04,40-43,Wednesday,Morning,NO
72,malay,male,fat,32,no,no_kids,big,blue,casual,orange,short_sleeve,blue,long,clothes,4,8,yes,2015-10-21 11:56:35,32-35,Wednesday,Morning,NO
73,malay,male,moderate,29,no,no_kids,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,2015-10-21 11:56:35,28-31,Wednesday,Morning,NO
74,chinese,male,thin,40,yes,toddler,small,white,casual,red,short_sleeve,blue,long,clothes,3,9,yes,2015-10-21 12:01:57,40-43,Wednesday,Afternoon,NO
75,chinese,male,moderate,31,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,2015-10-21 12:01:57,28-31,Wednesday,Afternoon,NO
76,malay,female,thin,31,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,2015-10-21 12:32:17,28-31,Wednesday,Afternoon,NO
77,chinese,male,thin,54,no,no_kids,big,white,casual,red,short_sleeve,black,long,clothes,3,8,no,2015-10-21 12:44:01,52-55,Wednesday,Afternoon,NO
78,malay,female,thin,43,no,no_kids,big,red,casual,green,long sleeve,black,long,clothes,6,10,no,2015-10-21 13:04:37,40-43,Wednesday,Afternoon,NO
79,malay,male,moderate,54,no,no_kids,small,white,casual,green,short_sleeve,blue,long,clothes,5,7,no,2015-10-21 13:04:37,52-55,Wednesday,Afternoon,NO
80,chinese,female,fat,45,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,2015-10-21 14:18:47,44-47,Wednesday,Afternoon,NO
81,malay,male,fat,38,yes,toddler,big,white,casual,grey,short_sleeve,black,long,clothes,3,7,no,2015-10-21 14:30:07,36-39,Wednesday,Afternoon,NO
82,malay,female,moderate,48,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,2015-10-21 14:32:50,48-51,Wednesday,Afternoon,NO
83,chinese,female,thin,47,no,no_kids,big,black,casual,red,short_sleeve,brown,long,clothes,3,9,no,2015-10-21 14:51:37,44-47,Wednesday,Afternoon,NO
84,indian,female,moderate,42,yes,toddler,big,blue,traditional,purple,long sleeve,purple,long,blankets,4,8,no,2015-10-21 15:05:32,40-43,Wednesday,Afternoon,YES
85,chinese,male,moderate,53,no,no_kids,big,white,casual,orange,short_sleeve,yellow,short,clothes,4,9,no,2015-10-21 16:53:36,52-55,Wednesday,Afternoon,YES
86,malay,female,fat,46,no,no_kids,big,blue,traditional,brown,long sleeve,brown,long,clothes,6,8,no,2015-10-21 19:35:17,44-47,Wednesday,Evening,YES
87,malay,female,fat,53,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,2015-10-21 19:35:17,52-55,Wednesday,Evening,YES
88,indian,male,thin,49,no,no_kids,big,black,casual,black,short_sleeve,blue,long,clothes,3,7,no,2015-10-21 19:35:17,48-51,Wednesday,Evening,NO
89,malay,male,thin,52,no,no_kids,big,black,traditional,brown,long sleeve,brown,long,clothes,6,10,no,2015-10-21 21:13:41,52-55,Wednesday,Evening,YES
90,malay,male,thin,32,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,2015-10-21 21:13:41,32-35,Wednesday,Evening,NO
91,chinese,male,moderate,34,no,no_kids,big,blue,casual,blue,short_sleeve,red,short,clothes,5,9,yes,2015-10-21 21:13:41,32-35,Wednesday,Evening,NO
92,indian,male,thin,44,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,2015-10-21 21:13:41,44-47,Wednesday,Evening,NO
93,malay,female,moderate,49,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,2015-10-22 07:31:47,48-51,Thursday,Morning,YES
94,malay,female,fat,33,no,no_kids,big,white,traditional,blue,long sleeve,black,long,clothes,5,7,no,2015-10-22 09:19:35,32-35,Thursday,Morning,NO
95,malay,female,moderate,55,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,2015-10-22 09:19:35,52-55,Thursday,Morning,NO
96,chinese,female,thin,45,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,2015-10-22 09:48:38,44-47,Thursday,Morning,NO
97,malay,male,moderate,55,no,no_kids,big,purple,casual,green,short_sleeve,yellow,long,clothes,3,8,yes,2015-10-22 10:08:57,52-55,Thursday,Morning,YES
98,malay,female,thin,49,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,2015-10-22 10:50:38,48-51,Thursday,Morning,NO
99,malay,female,thin,46,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,2015-10-22 10:50:38,44-47,Thursday,Morning,NO
100,foreigner,female,moderate,41,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,2015-10-22 13:14:43,40-43,Thursday,Afternoon,NO
101,malay,female,fat,53,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,no,2015-10-22 13:17:51,52-55,Thursday,Afternoon,NO
102,malay,male,fat,41,no,no_kids,big,green,casual,green,short_sleeve,black,long,clothes,3,10,no,2015-10-22 13:17:51,40-43,Thursday,Afternoon,NO
103,malay,male,moderate,55,no,no_kids,small,white,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,2015-10-22 14:38:23,52-55,Thursday,Afternoon,YES
104,malay,female,moderate,34,no,no_kids,small,green,casual,red,long sleeve,purple,long,clothes,4,7,no,2015-10-22 15:10:04,32-35,Thursday,Afternoon,YES
105,malay,female,fat,40,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,2015-10-22 15:42:25,40-43,Thursday,Afternoon,NO
106,indian,male,fat,44,no,no_kids,big,white,casual,yellow,short_sleeve,grey,short,clothes,5,7,no,2015-10-22 18:42:40,44-47,Thursday,Evening,YES
107,chinese,female,thin,50,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,2015-10-22 19:48:07,48-51,Thursday,Evening,NO
108,foreigner,male,moderate,54,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,no,2015-10-22 20:23:30,52-55,Thursday,Evening,NO
109,chinese,male,thin,44,no,no_kids,big,black,casual,black,short_sleeve,blue,long,clothes,5,8,no,2015-10-22 20:49:14,44-47,Thursday,Evening,NO
110,indian,male,moderate,32,no,no_kids,big,white,casual,green,short_sleeve,brown,short,clothes,3,9,no,2015-10-22 22:10:13,32-35,Thursday,Evening,NO
111,chinese,female,thin,32,no,no_kids,big,blue,casual,white,short_sleeve,brown,short,clothes,3,9,no,2015-10-22 22:52:01,32-35,Thursday,Evening,NO
112,indian,male,fat,47,no,no_kids,big,black,casual,blue,short_sleeve,black,short,clothes,6,7,no,2015-10-22 23:18:33,44-47,Thursday,Evening,NO
113,chinese,female,fat,30,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,2015-10-23 01:09:08,28-31,Friday,Early Morning,NO
114,chinese,male,fat,31,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,clothes,3,8,yes,2015-10-23 01:31:55,28-31,Friday,Early Morning,NO
115,indian,female,fat,39,no,no_kids,big,white,casual,grey,short_sleeve,black,long,clothes,3,10,no,2015-10-23 01:52:36,36-39,Friday,Early Morning,NO
116,malay,male,fat,40,no,no_kids,big,grey,casual,blue,short_sleeve,grey,long,clothes,5,7,no,2015-10-23 02:48:52,40-43,Friday,Early Morning,NO
117,indian,male,moderate,43,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,2015-10-23 04:35:37,40-43,Friday,Early Morning,NO
118,malay,female,fat,52,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,2015-10-23 07:07:53,52-55,Friday,Morning,NO
119,malay,male,fat,33,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,2015-10-23 07:31:00,32-35,Friday,Morning,NO
120,indian,male,thin,47,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,2015-10-23 10:27:02,44-47,Friday,Morning,NO
121,malay,male,fat,53,yes,baby,big,pink,casual,red,short_sleeve,brown,long,clothes,3,9,no,2015-10-23 11:14:22,52-55,Friday,Morning,NO
122,malay,female,moderate,53,yes,toddler,big,orange,formal,pink,long sleeve,black,long,clothes,4,7,no,2015-10-23 11:17:03,52-55,Friday,Morning,YES
123,indian,male,moderate,40,no,no_kids,small,green,formal,white,short_sleeve,black,long,clothes,3,9,no,2015-10-23 11:54:36,40-43,Friday,Morning,NO
124,malay,male,moderate,40,no,no_kids,big,blue,formal,black,short_sleeve,grey,long,clothes,4,10,no,2015-10-23 11:59:37,40-43,Friday,Morning,NO
125,malay,male,fat,52,no,no_kids,big,blue,casual,black,long sleeve,black,long,clothes,6,10,no,2015-10-23 12:00:06,52-55,Friday,Afternoon,NO
126,indian,male,fat,50,no,no_kids,big,white,casual,black,short_sleeve,grey,short,clothes,4,10,no,2015-10-23 12:00:06,48-51,Friday,Afternoon,NO
127,malay,male,fat,28,no,no_kids,big,brown,casual,black,short_sleeve,black,long,clothes,3,8,no,2015-10-23 12:00:06,28-31,Friday,Afternoon,NO
128,foreigner,male,thin,44,no,no_kids,big,grey,casual,black,short_sleeve,red,short,clothes,4,8,yes,2015-10-23 12:01:53,44-47,Friday,Afternoon,NO
129,malay,female,thin,52,no,no_kids,big,blue,casual,blue,short_sleeve,blue,short,clothes,5,8,no,2015-10-23 12:23:32,52-55,Friday,Afternoon,NO
130,malay,female,fat,39,no,no_kids,big,green,casual,black,short_sleeve,black,long,clothes,6,8,no,2015-10-23 12:57:44,36-39,Friday,Afternoon,NO
131,malay,female,thin,31,no,no_kids,big,white,casual,red,short_sleeve,blue,long,clothes,3,7,no,2015-10-23 15:17:25,28-31,Friday,Afternoon,NO
132,foreigner,male,moderate,31,no,no_kids,big,white,formal,grey,short_sleeve,grey,long,clothes,6,9,no,2015-10-23 16:06:01,28-31,Friday,Afternoon,NO
133,foreigner,female,moderate,40,no,no_kids,big,grey,casual,grey,long sleeve,black,long,clothes,4,9,no,2015-10-23 16:06:01,40-43,Friday,Afternoon,NO
134,malay,female,thin,28,yes,baby,big,white,casual,blue,long sleeve,black,long,blankets,4,9,no,2015-10-23 16:11:32,28-31,Friday,Afternoon,NO
135,malay,female,moderate,41,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,2015-10-23 16:33:34,40-43,Friday,Afternoon,NO
136,malay,female,thin,41,yes,toddler,big,white,casual,red,short_sleeve,blue,long,clothes,6,10,no,2015-10-23 17:31:48,40-43,Friday,Afternoon,NO
137,malay,female,fat,49,no,no_kids,big,blue,casual,brown,short_sleeve,white,long,clothes,5,9,no,2015-10-23 17:31:48,48-51,Friday,Afternoon,NO
138,chinese,female,moderate,30,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,6,7,no,2015-10-23 19:47:39,28-31,Friday,Evening,NO
139,chinese,male,moderate,48,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,3,9,no,2015-10-23 19:55:14,48-51,Friday,Evening,NO
140,chinese,male,moderate,34,no,no_kids,big,white,casual,purple,short_sleeve,blue,long,clothes,5,7,no,2015-10-23 20:08:58,32-35,Friday,Evening,NO
141,foreigner,male,thin,45,no,no_kids,big,brown,casual,red,short_sleeve,grey,long,clothes,6,9,no,2015-10-23 20:39:42,44-47,Friday,Evening,NO
142,foreigner,female,thin,49,yes,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,2015-10-23 21:18:54,48-51,Friday,Evening,NO
143,malay,female,thin,48,yes,toddler,big,red,casual,pink,long sleeve,black,long,clothes,4,7,no,2015-10-23 21:51:00,48-51,Friday,Evening,NO
144,indian,female,moderate,40,yes,young,big,red,casual,purple,short_sleeve,black,long,clothes,4,10,no,2015-10-23 22:31:34,40-43,Friday,Evening,NO
145,chinese,female,thin,42,no,no_kids,big,blue,casual,pink,short_sleeve,brown,long,clothes,5,9,yes,2015-10-23 22:58:27,40-43,Friday,Evening,NO
146,malay,male,fat,41,no,no_kids,big,blue,casual,blue,short_sleeve,black,long,clothes,3,7,no,2015-10-23 23:38:01,40-43,Friday,Evening,NO
147,chinese,male,fat,36,no,no_kids,big,red,casual,blue,short_sleeve,green,short,clothes,3,9,yes,2015-10-24 00:18:48,36-39,Saturday,Early Morning,NO
148,malay,male,thin,28,yes,baby,big,blue,casual,red,short_sleeve,grey,long,clothes,3,9,no,2015-10-24 00:38:01,28-31,Saturday,Early Morning,NO
149,malay,male,fat,53,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,yes,2015-10-24 01:31:38,52-55,Saturday,Early Morning,NO
150,malay,male,thin,43,no,no_kids,big,red,casual,yellow,long sleeve,black,long,clothes,4,7,yes,2015-10-24 06:44:22,40-43,Saturday,Morning,NO
151,chinese,female,moderate,39,no,no_kids,big,red,casual,green,short_sleeve,black,long,clothes,6,9,no,2015-10-24 06:56:49,36-39,Saturday,Morning,NO
152,indian,male,fat,40,no,no_kids,big,black,casual,white,long sleeve,brown,long,clothes,4,10,no,2015-10-24 08:51:44,40-43,Saturday,Morning,NO
153,indian,female,thin,41,no,no_kids,big,green,casual,brown,short_sleeve,grey,long,clothes,6,9,no,2015-10-24 09:07:33,40-43,Saturday,Morning,NO
154,malay,female,thin,50,no,no_kids,big,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,2015-10-24 09:22:05,48-51,Saturday,Morning,NO
155,malay,female,fat,48,no,no_kids,big,red,casual,red,long sleeve,brown,long,clothes,6,9,no,2015-10-24 09:23:10,48-51,Saturday,Morning,NO
156,foreigner,female,thin,42,no,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,no,2015-10-24 09:23:10,40-43,Saturday,Morning,NO
157,malay,male,thin,51,no,no_kids,small,white,casual,blue,long sleeve,black,long,clothes,6,10,no,2015-10-24 09:24:29,48-51,Saturday,Morning,NO
158,chinese,female,thin,54,no,no_kids,big,red,casual,brown,short_sleeve,brown,short,clothes,6,9,no,2015-10-24 10:30:48,52-55,Saturday,Morning,NO
159,malay,male,thin,50,yes,toddler,big,black,casual,black,short_sleeve,blue,long,clothes,4,10,no,2015-10-24 10:30:48,48-51,Saturday,Morning,NO
160,indian,female,fat,44,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,5,8,no,2015-10-24 10:47:32,44-47,Saturday,Morning,NO
161,malay,male,fat,41,no,no_kids,big,blue,casual,brown,short_sleeve,black,long,clothes,4,9,no,2015-10-24 10:59:09,40-43,Saturday,Morning,NO
162,malay,female,moderate,42,yes,young,big,red,casual,black,short_sleeve,red,long,clothes,4,7,no,2015-10-24 11:12:18,40-43,Saturday,Morning,NO
163,malay,male,fat,41,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,no,2015-10-24 11:32:11,40-43,Saturday,Morning,YES
164,indian,female,fat,37,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,blankets,6,7,no,2015-10-24 11:34:26,36-39,Saturday,Morning,NO
165,indian,male,fat,35,no,no_kids,big,black,casual,blue,short_sleeve,black,long,clothes,3,7,no,2015-10-24 12:00:51,32-35,Saturday,Afternoon,NO
166,chinese,male,thin,53,yes,baby,big,blue,casual,black,short_sleeve,grey,long,blankets,6,7,yes,2015-10-24 12:14:54,52-55,Saturday,Afternoon,NO
167,chinese,male,moderate,53,no,no_kids,small,white,casual,red,short_sleeve,brown,short,clothes,6,10,no,2015-10-24 12:37:44,52-55,Saturday,Afternoon,NO
168,chinese,male,thin,51,no,no_kids,big,black,casual,red,short_sleeve,blue,long,clothes,6,7,no,2015-10-24 13:05:01,48-51,Saturday,Afternoon,NO
169,malay,female,moderate,32,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,2015-10-24 13:30:48,32-35,Saturday,Afternoon,NO
